,release,title,origin,director,cast,genre
13,1907,Daniel Boone,American,Wallace McCutcheon and Ediwin S. Porter,"William Craven, Florence Lawrence",biographical
15,1907,Laughing Gas,American,Edwin Stanton Porter,"Bertha Regustus, Edward Boulden",comedy
16,1908,The Adventures of Dollie,American,D. W. Griffith,"Arthur V. Johnson, Linda Arvidson",drama
17,1908,The Black Viper,American,D. W. Griffith,D. W. Griffith,drama
18,1908,A Calamitous Elopement,American,D.W. Griffith,"Harry Solter, Linda Arvidson",comedy
19,1908,The Call of the Wild,American,D. W. Griffith,Charles Inslee,adventure
20,1908,A Christmas Carol,American,,Tom Ricketts,drama
21,1908,The Fight for Freedom,American,D. W. Griffith,"Florence Auer, John G. Adolfi",western
22,1909,At the Altar,American,D. W. Griffith,Marion Leonard,drama
23,1909,A Drunkard's Reformation,American,D. W. Griffith,Arthur V. Johnson,drama
26,1910,An Arcadian Maid,American,D.W. Griffith,"Mary Pickford, Mack Sennett",drama
30,1910,The House with Closed Shutters,American,D.W. Griffith,Henry B. Walthall,drama
31,1910,A Lad from Old Ireland,American,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",drama
32,1910,Pocahontas,American,,"Anna Rosemond, George Barnes, Frank H. Crane",short fantasy
33,1910,Ramona,American,D. W. Griffith,"Mary Pickford, Henry B. Walthall",drama
36,1911,Baseball and Bloomers,American,,"William Garwood, Marguerite Snow",silent sports
37,1911,The Black Arrow: A Tale of the Two Roses,American,Oscar Apfel,"Charles Ogle, Natalie Jerome",drama
38,1911,Brown of Harvard,American,Colin Campbell,Edgar G. Wynn,drama
40,1911,David Copperfield,American,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",drama
42,1911,Sweet Memories,American,Thomas H. Ince,"Mary Pickford, King Baggot",drama
44,1912,Dr. Jekyll and Mr. Hyde,American,Lucius Henderson,James Cruze,horror
46,1912,The Musketeers of Pig Alley,American,D. W. Griffith,"Elmer Booth, Lillian Gish",drama
48,1912,Petticoat Camp,American,,"William Garwood, Florence La Badie",comedy
49,1912,Put Yourself in His Place,American,Theodore Marston,"William Garwood, Marguerite Snow",drama
52,1913,Barney Oldfield's Race for a Life,American,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",comedy
53,1913,Bob's Baby,American,,Jean Acker,comedy
54,1913,Cohen Saves the Flag,American,Mack Sennett,"Ford Sterling, Mabel Normand",comedy
55,1913,Dr. Jekyll and Mr. Hyde,American,Herbert Brenon and Carl Laemmle,King Baggot,horror
56,1913,The Evidence of the Film,American,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",crime
57,1913,The Face at the Window,American,,"Earle Foxe, Irene Boyle, Stuart Holmes",drama
58,1913,The Quakeress,American,Raymond B. West,Louise Glaum,drama
59,1913,The Restless Spirit,American,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",drama
60,1913,The Telephone Girl and the Lady,American,D.W. Griffith,"Mae Marsh, Claire McDowell",drama
61,1914,The Avenging Conscience,American,D. W. Griffith,"Henry B. Walthall, Blanche Sweet",drama
62,1914,The Battle of the Sexes,American,D.W. Griffith,"Donald Crisp, Lilian Gish",drama
64,1914,Brewster's Millions,American,"Oscar Apfel, Cecil B. DeMille","Edward Abeles, Sydney Deane, Joseph Singleton",comedy
65,1914,A Busy Day,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Phyllis Allen",comedy
66,1914,The Call of the North,American,"Oscar Apfel, Cecil B. DeMille","Robert Edeson, Theodore Roberts",adventure
67,1914,Captain Alvarez,American,Rollin S. Sturgeon,"Edith Storey, William Desmond Taylor, George Holt",historical drama
68,1914,Caught in a Cabaret,American,Mabel Normand,"Charlie Chaplin, Mabel Normand, Edgar Kennedy",comedy
69,1914,Caught in the Rain,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Alice Davenport",comedy
70,1914,Cinderella,American,James Kirkwood,"Mary Pickford, Owen Moore, Isobel Vernon",fantasy drama
71,1914,"Cruel, Cruel Love",American,George Nichols and Mack Sennett,"Charlie Chaplin, Edgar Kennedy, Minta Durfee",comedy
72,1914,Dough and Dynamite,American,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Fritz Schade",comedy
73,1914,The Escape,American,D. W. Griffith,"Donald Crisp, Blanche Sweet, Mae Marsh",drama
76,1914,Gentlemen of Nerve,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Chester Conklin",comedy
77,1914,Getting Acquainted,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Phyllis Allen",comedy
78,1914,His Father's Rifle,American,Edward LeSaint,"Earle Foxe, Bertram Grassby",drama
81,1914,"Home, Sweet Home",American,D. W. Griffith,"Earle Foxe, Henry B. Walthall, Dorothy Gish",biographical drama
84,1914,The Knockout,American,Charles Avery,"Charlie Chaplin, Fatty Arbuckle, Edgar Kennedy",comedy
85,1914,Laughing Gas,American,Charlie Chaplin,"Charlie Chaplin, Fritz Schade",comedy
86,1914,Mabel at the Wheel,American,"Mabel Normand, Mack Sennett","Charlie Chaplin, Mabel Normand",comedy
87,1914,Mabel's Blunder,American,Mabel Normand,"Mabel Normand, Charly Chase, Al St. John",comedy
88,1914,Mabel's Married Life,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand",comedy
89,1914,Mabel's Strange Predicament,American,Henry Lehrman,"Charlie Chaplin, Mabel Normand",comedy
90,1914,Making a Living,American,Henry Lehrman,"Charlie Chaplin, Virginia Kirtley, Alice Davenport",comedy
91,1914,The Masquerader,American,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle",comedy
92,1914,Neptune's Daughter,American,Herbert Brenon,"Annette Kellerman, William E. Shay, William Welsh",fantasy
93,1914,The New Janitor,American,Charlie Chaplin,"Charlie Chaplin, Jess Dandy, John T. Dillon",comedy
94,1914,The Perils of Pauline,American,Louis J. Gasnier,Pearl White,adventure serial
95,1914,The Property Man,American,Charlie Chaplin,"Charlie Chaplin, Phyllis Allen, Alice Davenport",comedy
97,1914,Rose of the Rancho,American,Cecil B. DeMille,"Bessie Barriscale, Jane Darwell, Jeanie MacPherson",western
98,1914,The Rounders,American,Charlie Chaplin,"Charlie Chaplin, Fatty Arbuckle, Phyllis Allen",comedy
99,1914,Salomy Jane,American,William Nigh,"Beatriz Michelena, House Peters",western
100,1914,Should a Woman Divorce?,American,Edwin McKim,"Lea Leland, Leonid Samoloff",drama
101,1914,The Squaw Man,American,"Oscar Apfel, Cecil B. DeMille",Dustin Farnum,western
103,1914,Those Love Pangs,American,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Cecile Arnold",comedy
104,1914,Tillie's Punctured Romance,American,Mack Sennett,"Charlie Chaplin, Marie Dressler, Mabel Normand, Keystone Kops",comedy
105,1914,The Wrath of the Gods,American,Reginald Barker,"Sessue Hayakawa, Tsuru Aoki, Frank Borzage",drama
106,1915,After Five,American,Cecil B. DeMille,"Edward Abeles, Sessue Hayakawa",comedy
107,1915,Anna Karenina,American,J. Gordon Edwards,Betty Nansen and Edward José,historical drama
108,1915,Birth of a Nation,American,D. W. Griffith,"Lillian Gish, Mae Marsh",epic
110,1915,The Captive,American,Cecil B. DeMille,"Blanche Sweet, House Peters",historical
111,1915,Carmen,American,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid",adventure
112,1915,The Champion,American,Charles Chaplin,Charles Chaplin,comedy short
113,1915,The Cheat,American,Cecil B. DeMille,"Fannie Ward, Sessue Hayakawa",drama
114,1915,Chimmie Fadden Out West,American,Cecil B. DeMille,Victor Moore,comedy
115,1915,Enoch Arden,American,Christy Cabanne,"Alfred Paget, Lillian Gish",drama
116,1915,A Fool There Was,American,Frank Powell,"Theda Bara, Edward Jose",drama
117,1915,Four Feathers,American,J. Searle Dawley,"Edgar L. Davenport, Fuller Mellish",drama
118,1915,Fresh from the Farm,American,Hal Roach,Harold Lloyd,comedy
119,1915,Giving Them Fits,American,Hal Roach,Harold Lloyd,comedy
121,1915,The Italian,American,Reginald Barker,"George Beban, Clara Williams",drama
122,1915,"Love, Loot and Crash",American,Mack Sennett,"Charley Chase, Dora Rodgers",comedy
123,1915,Pool Sharks,American,Edwin Middleton,W. C. Fields,comedy short
124,1915,The Raven,American,Charles Brabin,Henry Walthall,biography
125,1915,The Soul of Broadway,American,Herbert Brenon,Valeska Suratt,drama
126,1915,The Toast of Death,American,Thomas H. Ince,Louise Glaum,drama
127,1915,The Tramp,American,Charles Chaplin,Charles Chaplin,comedy short
128,1915,The Warrens of Virginia,American,Cecil B. DeMille,"Blanche Sweet, James Neill",drama
129,1915,Work,American,Charlie Chaplin,"Charles Chaplin, Edna Purviance",comedy
130,1916,"20,000 Leagues Under the Sea",American,Stuart Paton,"Lois Alexander, Curtis Benton, Wallace Clarke, Allen Holubar",action adventure
131,1916,The Abandonment,American,Donald MacDonald,"Forrest Taylor, Harry von Meter, Helene Rosson",drama
132,1916,The Aryan,American,William S. Hart,"William S. Hart, Louise Glaum, Bessie Love",western drama
133,1916,The Bondman,American,Edgar Lewis,"William Farnum, Dorothy Bernard, L.O. Hart,",drama
134,1916,Civilization,American,Reginald Barker,"Howard C. Hickman, Enid Markey, George Fisher",drama
135,1916,A Daughter of the Gods,American,Herbert Brenon,"Annette Kellerman, Hal De Forrest",drama
136,1916,Divorce and the Daughter,American,Frederick Sullivan,"Florence La Badie, Edwin Stanley, Ethelmary Oakland",drama
137,1916,Fatty and Mabel Adrift,American,"Roscoe ""Fatty"" Arbuckle","Roscoe ""Fatty"" Arbuckle, Mabel Normand",short comedy
138,1916,The Fireman,American,Charlie Chaplin,"Charlie Chaplin, Edna Purviance, Lloyd Bacon",short comedy
140,1916,Hoodoo Ann,American,Lloyd Ingraham,"Mae Marsh, Robert Harron",comedy
141,1916,Hulda from Holland,American,John B. O'Brien,"Mary Pickford, Frank Losee",drama
142,1916,Joan the Woman,American,Cecil B. DeMille,Geraldine Farrar,historical
143,1916,Lights of New York,American,Van Dyke Brooke,"Leah Baird, Walter McGrail, Adele DeGarde",drama
144,1916,Lonesome Luke Leans to the Literary,American,Hal Roach,"Harold Lloyd, Bebe Daniels",short comedy
145,1916,Madame X,American,George F. Marion,"Dorothy Donnelly, John Bowers",drama
147,1916,Manhattan Madness,American,Allan Dwan,"Douglas Fairbanks, Jewel Carmen",comedy
148,1916,One A.M.,American,Charlie Chaplin,Charlie Chaplin,short comedy
149,1916,The Other Side of the Door,American,Tom Ricketts,"Harold Lockwood, May Allison",romantic drama
150,1916,Sherlock Holmes,American,Arthur Berthelet,"William Gillette, Edward Fielding",mystery
151,1916,The Soul's Cycle,American,Ulysses Davis,Patricia Palmer,drama
152,1916,The Stepping Stone,American,"Reginald Barker, Thomas H. Ince","Frank Keenan, Mary Boland",drama
153,1916,Under Two Flags,American,J. Gordon Edwards,"Theda Bara, Herbert Heyes",drama
154,1916,Where Are My Children?,American,Phillips Smalley,"Tyrone Power, Sr., Juan de la Cruz",crime drama
155,1916,Youth's Endearing Charm,American,William C. Dowlan,"Mary Miles Minter, Wallace MacDonald",drama
156,1917,All Aboard,American,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",comedy
157,1917,The Bad Boy,American,Chester Withey,"Robert Harron, Richard Cummings",crime drama
158,1917,Bucking Broadway,American,John Ford,"Harry Carey, Molly Malone",western
159,1917,The Butcher Boy,American,'Fatty' Arbuckle,'Fatty' Arbuckle / Buster Keaton,comedy
160,1917,Camille,American,J. Gordon Edwards,"Theda Bara, Alan Roscoe",drama
161,1917,Cheyenne's Pal,American,John Ford,"Harry Carey, Gertrude Astor",western
162,1917,Cleopatra,American,J. Gordon Edwards,"Theda Bara, Fritz Leiber, Sr., Thurston Hall",historical
163,1917,The Devil-Stone,American,Cecil B. DeMille,"Geraldine Farrar, Wallace Reid",romance
164,1917,Easy Street,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance",comedy
166,1917,Golden Rule Kate,American,Reginald Barker,Louise Glaum,western
167,1917,Great Expectations,American,Robert G. Vignola,"Jack Pickford, Louise Huff",drama
168,1917,The Gulf Between,American,Wray Bartlett Physioc,"Grace Darmond, Niles Welch",comedy drama
169,1917,Her Right to Live,American,Paul Scardon,"Peggy Hyland, Antonio Moreno",drama
170,1917,His Wedding Night,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Buster Keaton",comedy
171,1917,The Immigrant,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance",comedy
172,1917,"In Again, Out Again",American,John Emerson,Douglas Fairbanks,comedy
173,1917,The Jury of Fate,American,Tod Browning,Mabel Taliaferro,drama
174,1917,The Little American,American,Cecil B. DeMille,Mary Pickford,war drama
175,1917,The Little Princess,American,Marshall Neilan,"Mary Pickford, Norman Kerry and ZaSu Pitts",drama
176,1917,The Man Without a Country,American,Ernest C. Warde,"Florence La Badie, Holmes Herbert",drama
177,1917,The Mate of the Sally Ann,American,Henry King,"Mary Miles Minter, Allan Forrest",comedy drama
178,1917,A Modern Musketeer,American,Allan Dwan,"Douglas Fairbanks, Marjorie Daw",adventure
179,1917,Oh Doctor!,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Buster Keaton",comedy
180,1917,"Peggy, the Will O' the Wisp",American,Tod Browning,"Mabel Taliaferro, Thomas Carrigan",drama
181,1917,The Poor Little Rich Girl,American,Maurice Tourneur,Mary Pickford,drama
182,1917,Reaching for the Moon,American,John Emerson,"Douglas Fairbanks, Eileen Percy",adventure
183,1917,Rebecca of Sunnybrook Farm,American,Marshall Neilan,Mary Pickford,drama
184,1917,A Reckless Romeo,American,Roscoe Arbuckle,"'Fatty' Arbuckle, Al St. John",comedy
185,1917,The Rough House,American,"Roscoe Arbuckle, Buster Keaton","'Fatty' Arbuckle, Buster Keaton",comedy
186,1917,Souls in Pawn,American,Henry King,"Gail Kane, Douglas MacLean",spy
187,1917,Straight Shooting,American,John Ford,Harry Carey,western
188,1917,A Strange Transgressor,American,Reginald Barker,Louise Glaum,drama
190,1917,The Woman God Forgot,American,Cecil B. DeMille,Wallace Reid,romance
191,1918,All Woman,American,Hobart Henley,"Mae Marsh, Jere Austin",comedy
192,1918,Amarilly of Clothes-Line Alley,American,Marshall Neilan,Mary Pickford,drama
193,1918,Are Crooks Dishonest?,American,Gilbert Pratt,"Harold Lloyd, Snub Pollard",comedy
194,1918,Arizona,American,Albert Parker,"Douglas Fairbanks, Theodore Roberts",drama
195,1918,Beauty and the Rogue,American,Henry King,"Mary Miles Minter, Allan Forrest",crime drama
196,1918,"Believe Me, Xantippe",American,Donald Crisp,"Wallace Reid, Ann Little, Noah Beery",comedy
197,1918,The Bell Boy,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton",comedy short
198,1918,The Blue Bird,American,Maurice Tourneur,Tula Belle,fantasy
200,1918,The Bride's Awakening,American,Robert Z. Leonard,"Mae Murray, Lew Cody",drama
201,1918,Cecilia of the Pink Roses,American,Julius Steger,Marion Davies,drama
202,1918,The Cook,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton",comedy
203,1918,The Craving,American,John Ford,"Francis Ford, Mae Gaston",drama
204,1918,The Deciding Kiss,American,Tod Browning,"Edith Roberts, Hallam Cooley",comedy
205,1918,The Eyes of Julia Deep,American,Lloyd Ingraham,"Mary Miles Minter, Allan Forrest",comedy drama
206,1918,The Eyes of Mystery,American,Tod Browning,"Edith Storey, Bradley Barker",mystery
207,1918,Face Value,American,Robert Z. Leonard,"Mae Murray, Wheeler Oakman",drama
208,1918,The Forbidden City,American,Sidney Franklin,"Norma Talmadge, Thomas Meighan",drama
209,1918,Friend Husband,American,Clarence G. Badger,"Madge Kennedy, Rockliffe Fellowes",comedy drama
210,1918,Fuss and Feathers,American,Fred Niblo,"Enid Bennett, Douglas MacLean",comedy
211,1918,The Ghost of Slumber Mountain,American,Willis O'Brien,"Herbert M. Dawley, Willis O'Brien",fantasy
212,1918,The Goddess of Lost Lake,American,Wallace Worsley,Louise Glaum,drama
213,1918,The Great Love,American,D.W. Griffith,"George Fawcett, Lilian Gish",war drama
214,1918,The Greatest Thing in Life,American,D.W. Griffith,"Robert Harron, Lillian Gish",war drama
215,1918,He Comes Up Smiling,American,Allan Dwan,"Douglas Fairbanks, Marjorie Daw",adventure
216,1918,Headin' South,American,Allan Dwan,"Douglas Fairbanks, Katherine MacDonald",romantic comedy
217,1918,The Heart of Humanity,American,Allen Holubar,"Dorothy Phillips, William Stowell",propaganda
218,1918,Hearts of the World,American,D. W. Griffith,"Lillian Gish, Dorothy Gish",ww
219,1918,Hell Bent,American,John Ford,"Harry Carey, Duke R. Lee",western
220,1918,The House of Mirth,American,Albert Capellani,Katherine Harris Barrymore,drama
221,1918,Huck and Tom,American,William Desmond Taylor,"Jack Pickford, Robert Gordon",comedy drama
222,1918,The Legion of Death,American,Tod Browning,"Edith Storey, Philo McCullough",drama
223,1918,Men Who Have Made Love to Me,American,Arthur Berthelet,"Mary MacLane, Ralph Graves",biopic
224,1918,Mickey,American,"F. Richard Jones, James Young",Mabel Normand,comedy
225,1918,Moonshine,American,,'Fatty' Arbuckle/Buster Keaton,comedy
226,1918,Mr. Fix-It,American,Allan Dwan,"Douglas Fairbanks, Wanda Hawley",romantic comedy
227,1918,Nine-Tenths of the Law,American,B. Reeves Eason,Mitchell Lewis,drama
228,1918,The Non-Stop Kid,American,Gilbert Pratt,Harold Lloyd,comedy
229,1918,Old Wives for New,American,Cecil B. DeMille,"Elliott Dexter, Florence Vidor",drama
231,1918,Out West,American,Roscoe Arbuckle,"Fatty Arbuckle, Buster Keaton",comedy
232,1918,Powers That Prey,American,Henry King,"Mary Miles Minter, Allan Forrest",comedy drama
233,1918,Revenge,American,Tod Browning,"Edith Storey, Wheeler Oakman",western
234,1918,The Romance of Tarzan,American,Wilfred Lucas,"Elmo Lincoln, Enid Markey",adventure
235,1918,Salomé,American,J. Gordon Edwards,"Theda Bara, G. Raymond Nye",drama
236,1918,The Scarlet Drop,American,John Ford,"Harry Carey, Molly Malone",western
237,1918,Set Free,American,Tod Browning,"Edith Roberts, Harold Goodwin",drama
238,1918,Shoulder Arms,American,Charles Chaplin,"Charlie Chaplin, Sydney Chaplin",comedy
239,1918,Social Briars,American,Henry King,"Mary Miles Minter, Allan Forrest",comedy drama
240,1918,The Squaw Man,American,Cecil B. DeMille,"Elliott Dexter, Ann Little",western
241,1918,Stella Maris,American,Marshall Neilan,Mary Pickford,drama
242,1918,Tarzan of the Apes,American,Scott Sidney,Elmo Lincoln and Enid Markey,adventure
243,1918,Till I Come Back to You,American,Cecil B. DeMille,"Bryant Washburn, Florence Vidor",drama
244,1918,Treasure Island,American,Sidney Franklin Chester Franklin,"Francis Carpenter, Virginia Lee Corbin",adventure
245,1918,Under the Yoke,American,J. Gordon Edwards,"Theda Bara, G. Raymond Nye",drama
247,1918,The Venus Model,American,Clarence G. Badger,"Mabel Normand, Rod La Rocque",romantic comedy
248,1918,We Can't Have Everything,American,Cecil B. DeMille,"Kathlyn Williams, Elliott Dexter",drama
249,1918,When Do We Eat?,American,Fred Niblo,"Enid Bennett, Albert Ray",comedy
250,1918,Which Woman?,American,"Tod Browning, Harry A. Pollard","Ella Hall, A. Edward Sutherland",drama
251,1918,The Whispering Chorus,American,Cecil B. DeMille,"Raymond Hatton, Kathlyn Williams",drama
252,1919,Anne of Green Gables,American,William Desmond Taylor,"Mary Miles Minter, Paul Kelly",comedy drama
253,1919,Ask Father,American,Hal Roach,"Harold Lloyd, Bebe Daniels",comedy
254,1919,Back Stage,American,Fatty Arbuckle,"Fatty Arbuckle, Buster Keaton",short
255,1919,Better Times,American,King Vidor,"David Butler, ZaSu Pitts",drama
256,1919,Blind Husbands,American,Erich von Stroheim,"Erich von Stroheim, Francelia Billington",drama romance
257,1919,Bolshevism on Trial,American,"Harley Knoles, Lewis J. Selznick.",Robert Frazer,drama
258,1919,Broken Blossoms,American,D. W. Griffith,"Lillian Gish, Richard Barthelmess",drama
259,1919,Bumping Into Broadway,American,Hal Roach,"Harold Lloyd, Bebe Daniels",comedy
260,1919,Daddy-Long-Legs,American,Marshall Neilan,Mary Pickford,drama
261,1919,Dangerous Hours,American,Fred Niblo,"Lloyd Hughes, Barbara Castleton",drama
262,1919,A Day's Pleasure,American,Charlie Chaplin,"Charlie Chaplin, Edna Purviance",short
263,1919,The Delicious Little Devil,American,Robert Z. Leonard,"Mae Murray, Rudolph Valentino",comedy drama
264,1919,Don't Change Your Husband,American,Cecil B. DeMille,"Gloria Swanson, Elliott Dexter",comedy
265,1919,The Echo of Youth,American,Ivan Abramson,"Charles Richman, Leah Baird",drama
266,1919,The Exquisite Thief,American,Tod Browning,"Priscilla Dean, Thurston Hall",drama
267,1919,The False Faces,American,Irvin Willat,"Henry B. Walthall, Lon Chaney",drama
268,1919,"For Better, For Worse",American,Cecil B. DeMille,"Elliott Dexter, Gloria Swanson",drama
269,1919,From Hand to Mouth,American,"Alfred J. Goulding, Hal Roach","Harold Lloyd, Mildred Davis",comedy
270,1919,The Girl Who Stayed at Home,American,D.W. Griffith,"Adolf Lestina, Carol Dempster",drama
271,1919,The Grim Game,American,Irvin Willat,"Harry Houdini, Thomas Jefferson",drama
272,1919,A Gun Fightin' Gentleman,American,John Ford,"Harry Carey, J. Barney Sherry",western
273,1919,Happy Though Married,American,Fred Niblo,"Enid Bennett, Hallam Cooley",comedy
274,1919,The Haunted Bedroom,American,Fred Niblo,"Enid Bennett, Jack Nelson",drama
275,1919,Hawthorne of the U.S.A.,American,James Cruze,"Wallace Reid, Lila Lee",comedy
276,1919,Heart o' the Hills,American,Joseph De Grasse Sidney Franklin,"Mary Pickford, Harold Goodwin",drama
277,1919,"His Majesty, the American",American,Joseph Henabery,"Douglas Fairbanks, Marjorie Daw",comedy
279,1919,The Law of Men,American,Fred Niblo,"Enid Bennett, Niles Welch",drama
280,1919,Love's Prisoner,American,John Francis Dillon,"Olive Thomas, Ann Kroman",crime drama
281,1919,Male and Female,American,Cecil B. DeMille,"Gloria Swanson, Thomas Meighan",adventure
282,1919,A Man's Fight,American,Thomas N. Heffron,"Dustin Farnum, Harry von Meter",drama
283,1919,The Miracle Man,American,George Loane Tucker,"Lon Chaney, Betty Compson",drama
284,1919,The Miracle of Love,American,Robert Z. Leonard,"Lucy Cotton, Wyndham Standing",drama
285,1919,My Lady's Garter,American,Maurice Tourneur,"Wyndham Standing, Sylvia Breamer",mystery
286,1919,Nine-Tenths of the Law,American,B. Reeves Eason,"Mitchell Lewis, Jimsy Maye",drama
287,1919,Pistols for Breakfast,American,Alfred J. Goulding,"Harold Lloyd, Bebe Daniels",comedy
288,1919,The Probation Wife,American,Sidney Franklin,"Norma Talmadge, Thomas Meighan",comedy
289,1919,Ravished Armenia,American,Oscar Apfel,"Aurora Mardiganian, Irving Cummings",drama
290,1919,The Roaring Road,American,James Cruze,"Wallace Reid, Ann Little",romance
291,1919,A Rogue's Romance,American,James Young,"Earle Williams, Harry von Meter",crime drama
292,1919,A Romance of Happy Valley,American,D.W. Griffith,"Lillian Gish, Robert Harron",drama
293,1919,Sahara,American,Arthur Rosson,"Louise Glaum, Matt Moore",drama
294,1919,Scarlet Days,American,D.W. Griffith,"Richard Barthelmess, Eugenie Besserer",western
295,1919,A Society Exile,American,George Fitzmaurice,"Elsie Ferguson, Zeffie Tilbury",drama
296,1919,Soldiers of Fortune,American,Allan Dwan,"Wallace Beery, Ogden Crane",adventure
297,1919,Sunnyside,American,Charles Chaplin,"Charlie Chaplin, Edna Purviance",comedy
298,1919,The Test of Honor,American,John S. Robertson,"John Barrymore, Constance Binney",drama
299,1919,True Heart Susie,American,D.W. Griffith,"Lillian Gish, Bobby Harron",drama
300,1919,The Turn in the Road,American,King Vidor,"George Nichols, Lloyd Hughes",drama
301,1919,The Unpainted Woman,American,Tod Browning,"Mary MacLaren, Thurston Hall",drama
302,1919,The Virtuous Thief,American,Fred Niblo,"Enid Bennett, Niles Welch",drama
303,1919,What Every Woman Learns,American,Fred Niblo,"Enid Bennett, Milton Sills",drama
304,1919,When the Clouds Roll By,American,Victor Fleming & Theodore Reed,"Douglas Fairbanks, Kathleen Clifford",comedy
305,1919,The White Heather,American,Maurice Tourneur,"Holmes Herbert, Ben Alexander",drama
306,1919,The World and Its Woman,American,Frank Lloyd,"Geraldine Farrar, Lou Tellegen",drama
307,1919,Yankee Doodle in Berlin,American,F. Richard Jones,"Bothwell Browne, Ford Sterling",comedy
308,1919,You're Fired,American,James Cruze,"Wallace Reid, Wanda Hawley",comedy
309,1920,813,American,"Charles Christie, Scott Sidney","Wedgwood Nowell, Ralph Lewis, Wallace Beery, Laura La Plante",mystery
310,1920,Among Those Present,American,Fred C. Newmeyer,"Harold Lloyd, Mildred Davis",comedy short
311,1920,April Folly,American,Robert Z. Leonard,"Marion Davies, Conway Tearle",drama
312,1920,Blind Youth,American,Edward Sloman,"Walter McGrail, Leatrice Joy",drama
313,1920,A Child for Sale,American,Ivan Abramson,"Gladys Leslie, Creighton Hale",melodrama
314,1920,Convict 13,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Joe Roberts",comedy
315,1920,The Copperhead,American,Charles Maigne,"Lionel Barrymore, Doris Rankin",period drama
316,1920,The Devil's Pass Key,American,Erich von Stroheim,"Sam de Grasse, Mae Busch",drama
317,1920,A Double-Dyed Deceiver,American,Alfred E. Green,"Jack Pickford, Marie Dunn",crime drama
318,1920,Dr. Jekyll and Mr. Hyde,American,John S. Robertson,John Barrymore,horror
319,1920,The False Road,American,Fred Niblo,"Enid Bennett, Lloyd Hughes",drama
320,1920,The Family Honor,American,King Vidor,"Florence Vidor, Roscoe Karns",drama
321,1920,The Garage,American,Fatty Arbuckle,"'Fatty' Arbuckle, Buster Keaton",comedy short
322,1920,The Girl in Number 29,American,John Ford,"Frank Mayo, Elinor Fair",drama
323,1920,Hairpins,American,Fred Niblo,"Enid Bennett, Matt Moore, William Conklin",drama
324,1920,Haunted Spooks,American,"Alfred J. Goulding, Hal Roach",Harold Lloyd,comedy
325,1920,Her Husband's Friend,American,Fred Niblo,"Enid Bennett, Rowland V. Lee",drama
326,1920,High and Dizzy,American,Hal Roach,Harold Lloyd,comedy
327,1920,Huckleberry Finn,American,William Desmond Taylor,"Lewis Sargent, Wallace Beery",adventure
328,1920,The Idol Dancer,American,D.W. Griffith,"Richard Barthelmess, Clarine Seymour",drama
329,1920,In the Heart of a Fool,American,Allan Dwan,"James Kirkwood, Anna Q. Nilsson",drama
330,1920,The Jack-Knife Man,American,King Vidor,"F. A. Turner, Harry Todd",drama
331,1920,Judy of Rogue's Harbor,American,William Desmond Taylor,"Mary Miles Minter, Charles Meredith",drama
332,1920,Lady Rose's Daughter,American,Hugh Ford,"Elsie Ferguson, David Powell",drama
333,1920,The Last of the Mohicans,American,"Clarence Brown, Maurice Tourneur",Wallace Beery,adventure
334,1920,Love,American,Wesley Ruggles,"Louise Glaum, James Kirkwood, Sr.",romance
335,1920,The Love Flower,American,D.W. Griffith,"Carol Dempster, Richard Barthelmess",drama
336,1920,Madame X,American,Frank Lloyd,Pauline Frederick,drama
337,1920,The Man Who Lost Himself,American,Clarence G. Badger,"William Faversham, Hedda Hopper",comedy drama
338,1920,The Mark of Zorro,American,Fred Niblo,"Douglas Fairbanks, Marguerite De La Motte",swashbuckler
339,1920,Neighbors,American,"Edward F. Cline, Buster Keaton","Buster Keaton, Virginia Fox",comedy
340,1920,Now or Never,American,"Fred C. Newmeyer, Hal Roach","Harold Lloyd, Mildred Davis",comedy
341,1920,"Number, Please?",American,"Fred C. Newmeyer, Hal Roach",Harold Lloyd,comedy
342,1920,Old Lady 31,American,John Ince,"Emma Dunn, Henry Harmon",comedy drama
343,1920,One Week,American,"Edward F. Cline, Buster Keaton",Buster Keaton,comedy
